"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/04/2023","62","PM2.5","Ramsey Health Center","27-123-0868","AQS","6","48","19","62","28"
"03/05/2023","52","PM2.5","Andersen School","27-053-0963","AQS","8","46","15","52","42"
"03/06/2023","43","Ozone","Cedar Creek","27-003-1001","AQS","7","43","12","20","22"
"03/07/2023","43","Ozone","Cedar Creek","27-003-1001","AQS","7","43","8","23","30"
"03/08/2023","43","Ozone","Mille Lacs Band","27-095-3051","AQS","6","43","10","33","28"
"03/09/2023","44","Ozone","Cedar Creek","27-003-1001","AQS","6","44","8","34","22"
"03/10/2023","42","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","5","42","9","25","25"
"03/11/2023","42","Ozone","Mille Lacs Band","27-095-3051","AQS","6","42","5","24","19"
"03/12/2023","44","Ozone","B.F. Pearson School","27-139-0505","AQS","5","44","7","31","11"
"03/13/2023","44","Ozone","Cedar Creek","27-003-1001","AQS","6","44","16","26","44"
"03/14/2023","51","Ozone","B.F. Pearson School","27-139-0505","AQS","10","51","28","48","49"
"03/15/2023","53","PM2.5","Apple Valley","27-037-0470","AQS","6","46","27","53","25"
"03/16/2023","41","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","5","41","12","41","25"
"03/17/2023","39","Ozone","Mille Lacs Band","27-095-3051","AQS","3","39","26","29","11"
"03/18/2023","43","Ozone","Mille Lacs Band","27-095-3051","AQS","3","43","15","23","11"
"03/19/2023","50","Ozone","Mille Lacs Band","27-095-3051","AQS","3","50","15","23","22"
"03/20/2023","47","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","5","47","25","37","34"
"03/21/2023","44","Ozone","Cedar Creek","27-003-1001","AQS","5","44","16","36","22"
"03/22/2023","45","PM2.5","Apple Valley","27-037-0470","AQS","5","44","14","45","14"
"03/23/2023","50","Ozone","B.F. Pearson School","27-139-0505","AQS","5","50","19","33","29"
"03/24/2023","61","Ozone","Mille Lacs Band","27-095-3051","AQS","6","61","33","43","46"
"03/25/2023","80","Ozone","St. Michael Elementary School","27-171-3201","AQS","6","80","21","43","27"
"03/26/2023","51","PM2.5","Apple Valley","27-037-0470","AQS","6","50","14","51","16"
"03/27/2023","54","Ozone","St. Michael Elementary School","27-171-3201","AQS","6","54","20","35","30"
"03/28/2023","51","Ozone","St. Michael Elementary School","27-171-3201","AQS","5","51","34","37","28"
"03/29/2023","51","Ozone","Mille Lacs Band","27-095-3051","AQS","5","51","21","37","27"
"03/30/2023","54","PM2.5","Apple Valley","27-037-0470","AQS","6","50","35","54","47"
"03/31/2023","50","Ozone","Mille Lacs Band","27-095-3051","AQS","5","50","7","32","19"
"04/01/2023","51","Ozone","B.F. Pearson School","27-139-0505","AQS","6","51","19","25","28"
"04/02/2023","49","Ozone","Mille Lacs Band","27-095-3051","AQS","5","49","11","30","19"
"04/03/2023","54","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","6","54","12","28","25"
"04/04/2023","37","Ozone","Anoka County Airport","27-003-1002","AQS","6","37","14","23","13"
"04/05/2023","46","Ozone","B.F. Pearson School","27-139-0505","AQS","5","46","13","22","15"
"04/06/2023","51","PM2.5","Harding High School","27-123-0871","AQS","5","46","17","51","31"
"04/07/2023","50","Ozone","Cedar Creek","27-003-1001","AQS","6","50","18","33","36"
"04/08/2023","51","Ozone","B.F. Pearson School","27-139-0505","AQS","7","51","21","50","21"
"04/09/2023","50","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","6","50","28","48","16"
"04/10/2023","54","Ozone","Cedar Creek","27-003-1001","AQS","8","54","45","53","39"
"04/11/2023","101","Ozone","Mille Lacs Band","27-095-3051","AQS","8","101","61","56","32"
"04/12/2023","97","Ozone","Anoka County Airport","27-003-1002","AQS","10","97","67","57","53"
"04/13/2023","84","Ozone","Cedar Creek","27-003-1001","AQS","10","84","82","40","16"
"04/14/2023","69","PM10","Pacific Street","27-053-0910","AQS","6","61","69","53","19"
"04/15/2023","31","Ozone","Mille Lacs Band","27-095-3051","AQS","7","31","10","25","9"
"04/16/2023","44","Ozone","Cedar Creek","27-003-1001","AQS","7","44","6","9","7"
"04/17/2023","47","Ozone","B.F. Pearson School","27-139-0505","AQS","6","47","14","18","23"
"04/18/2023","48","Ozone","Cedar Creek","27-003-1001","AQS","6","48","17","24","34"
"04/19/2023","47","Ozone","Mille Lacs Band","27-095-3051","AQS","6","47","12","28","12"
"04/20/2023","44","Ozone","Mille Lacs Band","27-095-3051","AQS","6","44","6","27","26"
"04/21/2023","42","Ozone","Mille Lacs Band","27-095-3051","AQS","5","42","9","14","9"
"04/22/2023","41","Ozone","Mille Lacs Band","27-095-3051","AQS","19","41","6","11","11"
"04/23/2023","43","Ozone","Cedar Creek","27-003-1001","AirNow","20","43","12","30","26"
"04/24/2023","44","Ozone","Cedar Creek","27-003-1001","AirNow","10","44","17","31","28"
"04/25/2023","42","Ozone","Cedar Creek","27-003-1001","AirNow","6","42","24","21","25"
"04/26/2023","47","Ozone","Cedar Creek","27-003-1001","AirNow","5","47","36","37","30"
"04/27/2023","61","PM2.5","B.F. Pearson School","27-139-0505","AQS","7","42","44","61","25"
"04/28/2023","38","PM2.5","Apple Valley","27-037-0470","AQS","7","37","13","38","20"
"04/29/2023","39","Ozone","Anoka County Airport","27-003-1002","AQS","6","39","9","20","13"
"04/30/2023","40","Ozone","Mille Lacs Band","27-095-3051","AQS","5","40","14","9","8"
"05/01/2023","43","Ozone","Cedar Creek","27-003-1001","AQS","5","43","31","14","12"
"05/02/2023","45","Ozone","Cedar Creek","27-003-1001","AQS","5","45","28","14","29"
"05/03/2023","47","Ozone","St. Croix Watershed Research Station","27-163-6016","AQS","11","47","35","35","36"
"05/04/2023","47","Ozone","B.F. Pearson School","27-139-0505","AQS","6","47","36","39","22"
"05/05/2023","50","Ozone","Cedar Creek","27-003-1001","AQS","13","50","24","43","23"
"05/06/2023","50","PM2.5","B.F. Pearson School","27-139-0505","AQS","9","32","21","50","12"
"05/07/2023","50","Ozone","Anoka County Airport","27-003-1002","AQS","9","50","21","48","24"
"05/08/2023","50","PM2.5","Apple Valley","27-037-0470","AQS","8","46","25","50","20"
"05/09/2023","44","Ozone","Cedar Creek","27-003-1001","AQS","6","44","18","39","21"
"05/10/2023","90","Ozone","Cedar Creek","27-003-1001","AQS","7","90","31","50","57"
"05/11/2023","100","Ozone","Cedar Creek","27-003-1001","AQS","7","100","22","33","26"
"05/12/2023","61","Ozone","Anoka County Airport","27-003-1002","AQS","7","61","27","44","29"
"05/13/2023","51","Ozone","St. Michael Elementary School","27-171-3201","AQS","19","51","15","41","13"
"05/14/2023","42","Ozone","Mille Lacs Band","27-095-3051","AQS","8","42","13","37","18"
"05/15/2023","58","Ozone","Anoka County Airport","27-003-1002","AQS","15","58","19","40","30"
"05/16/2023","51","PM2.5","St. Michael Elementary School","27-171-3201","AQS","6","50","38","51","24"
"05/17/2023","37","PM2.5","B.F. Pearson School","27-139-0505","AQS","5","36","27","37","15"
"05/18/2023","153","PM2.5","B.F. Pearson School","27-139-0505","AQS","7","43","51","153","15"
"05/19/2023","42","PM2.5","Harding High School","27-123-0871","AQS","8","29","20","42","17"
"05/20/2023","56","PM2.5","Harding High School","27-123-0871","AQS","22","47","27","56","32"
"05/21/2023","112","Ozone","Anoka County Airport","27-003-1002","AQS","11","112","38","78","34"
"05/22/2023","112","Ozone","Cedar Creek","27-003-1001","AQS","8","112","60","71","35"
"05/23/2023","140","Ozone","Cedar Creek","27-003-1001","AQS","7","140","60","77","33"
"05/24/2023","62","PM2.5","Apple Valley","27-037-0470","AQS","7","47","50","62","22"
